,,"Demographic Information, Households and Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,Children in Poverty < 18,,,,,,,,,,,,,,,,,,,Teen Pregnancy,,,Substance Abuse Treatment,,,,,Child Abuse and Neglect Related Fatalities (2010-2014),,,Substantiated < 18 (2010-2014),,,Rankings - Larger Numbers Indicate Higher Risk (1=lowest risk),,,,,,,
ZCTA,County Name,Corresponding Counties,Total Population (2010-2014),2010 Child Population (under 18),2011 Child Population (under 18),2012 Child Population (under 18),2013 Child Population (under 18),2014 Child Population (under 18),Child Population (under 18) 5yr,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Family Households 5yr,Female-headed Household with Child 5yr,Total Estimated Child Population < 18yrs,Children in Poverty (under 18) 5yr,Average of Child Poverty (under 18) 5yr,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Teen Birth and Married ,No Teen Birth and Married,Teen Birth and Unmarried (15-19yrs),No Teen Birth and Unmarried,Number of Teen Births (15-19yrs); 2008-2012 American Community Survey,Total Female Population (15-19yrs); 2008-2012 American Community Survey,Average Teen Birth(15-19yrs); 2008-2012 American Community Survey,Unique Clients Admitted for Substance Abuse Treatment (*=suppressed),Number of state funded substance abuse service types utilized by individuals,Drug- Related Offenses,Domestic Violence Offenses,Average Substance Abuse Treatment; 2008-2012 American Community Survey,Child Abuse and Neglect Fatalities 5yr,Aggregated Child Population Estimate (2010 - 2014),Average Child Abuse and Neglect Related Fatalities < 18yrs,Total Number of Substantiated Cases (under 18) ,2010 - 2014 Aggregated Child Population Estimate (under 18) ,Average Number of Substantiated Cases (under 18),Poverty Ranking for Children (under 18) 5yr,Teen Births (15-19) 5yr,Substance Abuse Rating,Child Abuse and Neglect Fatalities 5yr,Substantiated Abuse Rating  (under 18),Mean of Overall Risk Rankings,Overall Risk Ranking
75956,Newton County,Jasper County;Newton County,7005,1839,2092,2067,1935,1746,1936,6940,5966,886,26,0,0,0,62,341,177,21,0,0,0,143,0,2730,245,1746,431,24.68%,15,0,66,48,0,10,82,0,175,35,0,0,0,17,7,230,0,254,2.76%,*,4,N/A,N/A,15.38%,0,1936,0.00%,126,1936,6.51%,1063,1013,952,1,1392,884.2,1247
75959,Sabine County,Sabine County,763,138,215,166,168,104,158,1080,1051,29,0,0,0,0,0,0,0,0,0,0,0,0,0,337,8,104,15,14.42%,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,22,16,22,0.00%,0,0,N/A,N/A,0.00%,0,158,0.00%,8,158,5.06%,635,1,1,1,1087,345,338
75960,Polk County,Polk County,829,245,183,220,171,155,195,671,474,168,0,0,0,0,29,187,177,0,0,0,0,10,0,351,36,155,116,74.84%,39,0,30,0,0,0,20,0,0,27,0,0,0,0,0,10,0,10,0.00%,0,0,N/A,N/A,0.00%,0,195,0.00%,16,195,8.21%,1815,1,1,1,1600,683.6,949
75961,Nacogdoches County,Nacogdoches County,15199,3658,3779,3845,3848,3980,3822,13338,9229,3677,37,252,0,16,127,1747,1306,69,10,0,0,351,11,6088,449,3980,1526,38.34%,365,59,155,36,39,104,314,39,307,73,7,28,15,14,0,382,0,411,3.65%,18,9,N/A,N/A,34.62%,1,3822,0.03%,232,3822,6.07%,1473,1083,1488,1660,1313,1403.4,1804
75962,Nacogdoches County,Nacogdoches County,3217,0,0,0,0,51,10,3097,1644,1323,0,118,0,0,12,335,327,8,0,0,0,0,0,0,0,51,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,0,1436,0.00%,0,0,N/A,N/A,0.00%,0,10,0.00%,0,10,0.00%,1,1,1,1,1,1,1
75964,Nacogdoches County,Nacogdoches County,19060,6051,5188,5444,5449,5449,5516,11953,8494,3187,0,100,0,21,151,7695,6599,21,18,0,0,761,296,6525,796,5449,2178,39.97%,339,119,285,307,112,35,289,58,262,188,98,86,0,4,54,638,0,696,7.76%,24,13,N/A,N/A,50.00%,0,5516,0.00%,329,5516,5.96%,1513,1317,1764,1,1282,1175.4,1605
75965,Nacogdoches County,Nacogdoches County,19038,3212,3957,3876,3949,3827,3764,17194,13136,3370,124,409,0,0,155,1395,1227,32,0,0,0,77,59,7540,642,3827,641,16.75%,96,50,153,0,11,56,58,104,66,27,0,20,0,0,57,1262,0,1319,4.32%,*,7,N/A,N/A,26.92%,0,3764,0.00%,149,3764,3.96%,739,1127,1308,1,804,795.8,1123
75966,Newton County,Newton County,4257,1191,1129,841,906,959,1005,4063,2939,1059,10,50,0,5,0,173,156,0,0,0,0,17,0,1566,62,959,416,43.38%,108,15,56,48,0,1,62,0,63,56,7,0,0,0,32,94,0,126,25.40%,*,4,N/A,N/A,15.38%,1,1005,0.10%,46,1005,4.58%,1605,1562,952,1865,976,1392,1794
75968,Sabine County,Sabine County;San Augustine County,2028,485,581,552,488,653,552,1726,1492,221,0,0,0,6,7,212,207,0,0,0,0,5,0,634,29,653,95,14.55%,20,0,13,0,0,0,2,7,21,0,32,0,0,0,0,52,0,52,0.00%,*,4,N/A,N/A,15.38%,0,552,0.00%,23,552,4.17%,638,1,952,1,870,492.4,579
75968,San Augustine County,Sabine County;San Augustine County,2028,485,581,552,488,653,552,1726,1492,221,0,0,0,6,7,212,207,0,0,0,0,5,0,634,29,653,95,14.55%,20,0,13,0,0,0,2,7,21,0,32,0,0,0,0,52,0,52,0.00%,*,4,N/A,N/A,15.38%,0,552,0.00%,23,552,4.17%,638,1,952,1,870,492.4,579
75969,Angelina County,Angelina County;Cherokee County,3712,935,647,660,740,903,777,3285,3090,138,19,0,0,0,38,116,48,0,0,0,0,68,0,1116,51,903,150,16.61%,8,0,0,0,0,2,76,0,16,27,0,21,0,0,0,160,0,160,0.00%,*,8,N/A,N/A,30.77%,0,777,0.00%,47,777,6.05%,734,1,1409,1,1311,691.2,968
75969,Cherokee County,Angelina County;Cherokee County,3712,935,647,660,740,903,777,3285,3090,138,19,0,0,0,38,116,48,0,0,0,0,68,0,1116,51,903,150,16.61%,8,0,0,0,0,2,76,0,16,27,0,21,0,0,0,160,0,160,0.00%,*,8,N/A,N/A,30.77%,0,777,0.00%,47,777,6.05%,734,1,1409,1,1311,691.2,968
75972,Sabine County,Sabine County;San Augustine County;Shelby County,6230,1467,1575,1736,1314,1276,1474,6103,3945,2076,38,3,0,0,41,307,221,0,0,0,0,86,0,2292,123,1276,468,36.68%,25,26,120,44,0,45,104,0,54,42,0,8,0,0,18,161,0,179,10.06%,*,7,N/A,N/A,26.92%,0,1474,0.00%,119,1474,8.08%,1440,1405,1308,1,1586,1148,1573
75972,San Augustine County,Sabine County;San Augustine County;Shelby County,6230,1467,1575,1736,1314,1276,1474,6103,3945,2076,38,3,0,0,41,307,221,0,0,0,0,86,0,2292,123,1276,468,36.68%,25,26,120,44,0,45,104,0,54,42,0,8,0,0,18,161,0,179,10.06%,*,7,N/A,N/A,26.92%,0,1474,0.00%,119,1474,8.08%,1440,1405,1308,1,1586,1148,1573
75972,Shelby County,Sabine County;San Augustine County;Shelby County,6230,1467,1575,1736,1314,1276,1474,6103,3945,2076,38,3,0,0,41,307,221,0,0,0,0,86,0,2292,123,1276,468,36.68%,25,26,120,44,0,45,104,0,54,42,0,8,0,0,18,161,0,179,10.06%,*,7,N/A,N/A,26.92%,0,1474,0.00%,119,1474,8.08%,1440,1405,1308,1,1586,1148,1573
75973,Shelby County,Shelby County,2181,562,676,538,481,439,539,2517,2045,439,0,0,0,0,33,48,30,0,0,0,0,18,0,1047,13,439,122,27.79%,12,14,27,9,2,0,24,0,19,3,12,0,0,0,18,33,0,51,35.29%,*,1,N/A,N/A,3.85%,0,539,0.00%,30,539,5.56%,1193,1582,467,1,1192,887,1250
75974,Panola County,Panola County;Shelby County,2935,895,817,855,771,715,811,2162,1472,648,0,0,0,0,42,736,597,0,0,0,0,139,0,1201,131,715,314,43.92%,65,0,29,0,4,33,86,6,26,26,14,25,0,0,30,122,0,152,19.74%,*,5,N/A,N/A,19.23%,0,811,0.00%,33,811,4.07%,1614,1539,1090,1,844,1017.6,1425
75974,Shelby County,Panola County;Shelby County,2935,895,817,855,771,715,811,2162,1472,648,0,0,0,0,42,736,597,0,0,0,0,139,0,1201,131,715,314,43.92%,65,0,29,0,4,33,86,6,26,26,14,25,0,0,30,122,0,152,19.74%,*,5,N/A,N/A,19.23%,0,811,0.00%,33,811,4.07%,1614,1539,1090,1,844,1017.6,1425
75975,Panola County,Panola County;Rusk County;Shelby County,3919,955,796,821,1005,943,904,3315,2443,742,0,82,0,0,48,363,340,0,0,0,0,23,0,1433,123,943,308,32.66%,24,4,81,17,0,21,50,4,40,31,33,3,0,8,0,87,0,95,0.00%,*,4,N/A,N/A,15.38%,1,904,0.11%,87,904,9.62%,1345,1,952,1874,1694,1173.2,1602
75975,Rusk County,Panola County;Rusk County;Shelby County,3919,955,796,821,1005,943,904,3315,2443,742,0,82,0,0,48,363,340,0,0,0,0,23,0,1433,123,943,308,32.66%,24,4,81,17,0,21,50,4,40,31,33,3,0,8,0,87,0,95,0.00%,*,4,N/A,N/A,15.38%,1,904,0.11%,87,904,9.62%,1345,1,952,1874,1694,1173.2,1602
75975,Shelby County,Panola County;Rusk County;Shelby County,3919,955,796,821,1005,943,904,3315,2443,742,0,82,0,0,48,363,340,0,0,0,0,23,0,1433,123,943,308,32.66%,24,4,81,17,0,21,50,4,40,31,33,3,0,8,0,87,0,95,0.00%,*,4,N/A,N/A,15.38%,1,904,0.11%,87,904,9.62%,1345,1,952,1874,1694,1173.2,1602
75976,Cherokee County,Cherokee County,991,239,259,220,283,305,261,795,636,138,9,0,0,0,12,140,140,0,0,0,0,0,0,295,45,305,110,36.07%,0,0,8,4,0,9,59,0,3,3,14,10,0,0,0,62,0,62,0.00%,0,0,N/A,N/A,0.00%,1,261,0.38%,11,261,4.21%,1417,1,1,1905,880,840.8,1178
75977,Newton County,Newton County,1371,192,325,402,508,372,360,1627,403,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,356,29,372,75,20.16%,0,0,0,0,0,0,0,0,0,50,0,25,0,0,0,24,0,24,0.00%,*,1,N/A,N/A,3.85%,0,360,0.00%,6,360,1.67%,875,1,467,1,290,326.8,318
75978,Nacogdoches County,Nacogdoches County,38,51,13,13,13,6,19,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,19,0.00%,0,19,0.00%,1,N/A,1,1,1,1,1
75979,Tyler County,Tyler County,11695,1943,1718,1875,2114,2194,1969,10623,8522,1790,68,8,0,54,181,953,761,14,18,0,0,145,15,3987,261,2194,600,27.35%,83,15,112,70,0,66,35,3,81,41,47,47,0,0,29,218,13,247,11.74%,22,10,N/A,N/A,38.46%,1,1969,0.05%,186,1969,9.45%,1178,1448,1575,1779,1681,1532.2,1893
75980,Angelina County,Angelina County;Jasper County,2882,583,377,446,413,479,460,2692,2574,26,22,16,0,0,54,25,25,0,0,0,0,0,0,1150,17,479,72,15.03%,15,0,6,0,3,14,19,2,3,10,0,0,0,0,0,25,3,25,0.00%,*,4,N/A,N/A,15.38%,0,460,0.00%,36,460,7.83%,657,1,952,1,1557,633.6,840
75980,Jasper County,Angelina County;Jasper County,2882,583,377,446,413,479,460,2692,2574,26,22,16,0,0,54,25,25,0,0,0,0,0,0,1150,17,479,72,15.03%,15,0,6,0,3,14,19,2,3,10,0,0,0,0,0,25,3,25,0.00%,*,4,N/A,N/A,15.38%,0,460,0.00%,36,460,7.83%,657,1,952,1,1557,633.6,840
76001,Tarrant County,Tarrant County,31228,9657,10170,10101,9755,9285,9794,24637,16456,6265,61,1428,0,89,338,7016,5085,141,200,0,0,1354,236,9957,1150,9285,922,9.93%,83,31,251,77,34,19,99,13,253,41,21,0,0,44,11,1497,0,1552,0.71%,15,7,N/A,N/A,26.92%,0,9794,0.00%,329,9794,3.36%,455,871,1308,1,640,655,890
76002,Tarrant County,Tarrant County,32821,10437,9981,9803,9877,10431,10106,23145,10175,8976,71,3198,0,28,697,7780,5332,113,106,21,0,1489,719,8908,989,10431,1023,9.81%,28,33,196,181,53,121,239,0,132,21,0,19,55,4,29,1164,36,1252,6.71%,21,11,N/A,N/A,42.31%,0,10106,0.00%,290,10106,2.87%,447,1269,1648,1,535,780,1091
76006,Tarrant County,Tarrant County,23768,4514,4274,5125,5101,5517,4906,19162,9586,7752,46,1089,16,159,514,4310,3325,276,9,69,0,571,60,11709,990,5517,1168,21.17%,234,146,185,103,16,36,245,10,50,107,0,36,0,8,110,371,0,489,22.49%,30,14,N/A,N/A,53.85%,1,4906,0.02%,304,4906,6.20%,908,1551,1834,1533,1339,1433,1833
76008,Parker County,Parker County;Tarrant County,14695,4027,4220,4205,4193,4417,4212,13145,12618,36,48,252,0,5,186,1175,1024,0,0,0,0,71,80,4665,187,4417,354,8.01%,0,60,68,10,0,44,38,6,84,10,11,23,0,3,0,575,15,578,0.00%,18,12,4,4,46.15%,1,4212,0.02%,62,4212,1.47%,387,1,1705,1533,248,774.8,1085
76008,Tarrant County,Parker County;Tarrant County,14695,4027,4220,4205,4193,4417,4212,13145,12618,36,48,252,0,5,186,1175,1024,0,0,0,0,71,80,4665,187,4417,354,8.01%,0,60,68,10,0,44,38,6,84,10,11,23,0,3,0,575,15,578,0.00%,18,12,4,4,46.15%,1,4212,0.02%,62,4212,1.47%,387,1,1705,1533,248,774.8,1085
76009,Johnson County,Johnson County,20362,5446,5500,5395,4909,4999,5250,14310,13535,220,9,151,0,0,395,5250,4558,0,0,0,0,607,85,6460,351,4999,930,18.60%,168,12,121,6,26,38,127,8,182,63,80,99,0,16,16,711,0,743,2.15%,44,8,N/A,N/A,30.77%,3,5250,0.06%,442,5250,8.42%,809,977,1409,1807,1611,1322.6,1727
76010,Tarrant County,Tarrant County,57216,18227,17483,18014,18472,18170,18073,23300,11859,7702,208,2648,45,21,817,33212,27381,416,371,12,0,4692,340,17407,2589,18170,8451,46.51%,1601,197,1870,578,152,312,986,319,1234,686,168,348,119,66,104,2227,0,2516,8.86%,84,12,N/A,N/A,46.15%,1,18073,0.01%,997,18073,5.52%,1651,1362,1705,1381,1180,1455.8,1851
76011,Tarrant County,Tarrant County,22216,5700,6636,6112,6016,5769,6047,11857,6606,4285,33,639,0,6,288,10683,8733,308,6,44,0,1513,79,9111,1170,5769,2671,46.30%,519,59,340,184,33,156,516,121,455,207,35,46,6,8,55,688,0,757,8.06%,29,13,N/A,N/A,50.00%,2,6047,0.03%,473,6047,7.82%,1647,1333,1764,1660,1556,1592,1916
76012,Tarrant County,Tarrant County,26698,6076,5380,5550,5704,6311,5804,21295,16281,3492,153,921,0,10,438,4596,4025,170,69,0,0,257,75,10287,701,6311,2064,32.70%,230,120,377,185,62,165,291,22,249,166,101,96,0,22,37,821,0,880,4.20%,40,12,5,20,46.15%,1,5804,0.02%,354,5804,6.10%,1347,1119,1705,1533,1318,1404.4,1807
76013,Tarrant County,Tarrant County,30505,6288,6955,6322,6173,5740,6296,27513,21044,3457,232,2152,14,229,385,3636,2723,87,20,6,16,631,153,13016,794,5740,1133,19.74%,281,22,130,82,55,127,240,0,82,48,41,25,0,0,0,850,0,850,0.00%,54,11,N/A,N/A,42.31%,1,6296,0.02%,368,6296,5.85%,853,1,1648,1533,1248,1056.6,1478
76014,Tarrant County,Tarrant County,34768,10917,11208,11919,11712,11006,11352,22199,7899,8907,0,4506,27,42,818,12976,9103,98,40,9,0,3333,393,10936,1994,11006,2906,26.40%,476,59,516,314,87,184,543,77,463,43,95,49,79,13,127,1276,3,1495,13.78%,38,11,N/A,N/A,42.31%,2,11352,0.02%,518,11352,4.56%,1132,1487,1648,1533,967,1353.4,1756
76015,Tarrant County,Tarrant County,16823,3920,3224,3498,3727,4103,3694,12621,8715,2646,130,827,0,0,303,3737,3107,164,11,0,0,342,113,6795,833,4103,1070,26.08%,116,56,165,86,0,60,121,17,302,92,17,38,0,0,0,645,0,645,0.00%,21,8,N/A,N/A,30.77%,0,3694,0.00%,242,3694,6.55%,1120,1,1409,1,1400,786.2,1105
76016,Tarrant County,Tarrant County,31229,7251,7280,7245,7334,6910,7204,27853,22749,2351,62,2229,0,0,462,3746,3484,0,0,0,0,140,122,11618,784,6910,733,10.61%,243,6,207,22,0,22,82,8,121,0,0,22,0,0,20,967,0,987,2.03%,24,9,N/A,N/A,34.62%,0,7204,0.00%,217,7204,3.01%,488,968,1488,1,560,701,981
76017,Tarrant County,Tarrant County,43896,11738,11280,10714,10370,10342,10889,36897,25754,7422,213,2836,0,72,600,5895,4217,0,0,55,0,1360,263,16824,1404,10342,1490,14.41%,152,104,203,77,195,125,205,64,203,55,45,62,0,14,20,1491,0,1525,1.31%,38,13,N/A,N/A,50.00%,3,10889,0.03%,423,10889,3.88%,633,911,1764,1660,783,1150.2,1576
76018,Tarrant County,Tarrant County,28551,8281,8897,8549,8614,9012,8671,20504,8348,7329,42,4184,45,21,535,7261,4828,45,8,0,0,2243,137,8706,1004,9012,1138,12.63%,77,53,161,123,8,47,188,104,197,109,20,51,0,0,23,1206,69,1229,1.87%,25,9,N/A,N/A,34.62%,1,8671,0.01%,300,8671,3.46%,563,954,1488,1381,669,1011,1410
76020,Parker County,Parker County;Tarrant County;Wise County,26937,6562,6707,6410,6087,6006,6354,24712,23706,234,259,95,0,28,390,2197,2016,0,6,0,0,110,65,10191,699,6006,1264,21.05%,178,24,215,84,32,13,386,53,182,42,28,27,37,3,65,624,15,729,13.99%,44,11,N/A,N/A,42.31%,1,6354,0.02%,572,6354,9.00%,903,1491,1648,1533,1650,1445,1847
76020,Tarrant County,Parker County;Tarrant County;Wise County,26937,6562,6707,6410,6087,6006,6354,24712,23706,234,259,95,0,28,390,2197,2016,0,6,0,0,110,65,10191,699,6006,1264,21.05%,178,24,215,84,32,13,386,53,182,42,28,27,37,3,65,624,15,729,13.99%,44,11,N/A,N/A,42.31%,1,6354,0.02%,572,6354,9.00%,903,1491,1648,1533,1650,1445,1847
76020,Wise County,Parker County;Tarrant County;Wise County,26937,6562,6707,6410,6087,6006,6354,24712,23706,234,259,95,0,28,390,2197,2016,0,6,0,0,110,65,10191,699,6006,1264,21.05%,178,24,215,84,32,13,386,53,182,42,28,27,37,3,65,624,15,729,13.99%,44,11,N/A,N/A,42.31%,1,6354,0.02%,572,6354,9.00%,903,1491,1648,1533,1650,1445,1847
76021,Tarrant County,Tarrant County,34998,6451,6657,6483,6581,6681,6571,30841,25798,2564,32,1440,109,117,781,3814,2560,18,0,50,0,1102,84,15381,1032,6681,535,8.01%,116,16,39,32,43,10,153,0,93,0,16,17,70,0,0,855,0,925,7.57%,53,10,N/A,N/A,38.46%,2,6571,0.03%,244,6571,3.71%,387,1311,1575,1660,731,1132.8,1560
76022,Tarrant County,Tarrant County,12947,2854,3247,3230,2972,2888,3038,10957,9428,586,16,467,144,61,255,1981,1225,18,0,0,0,729,9,5597,378,2888,497,17.21%,53,0,60,83,32,28,60,0,81,100,0,0,0,0,44,380,0,424,10.38%,29,10,N/A,N/A,38.46%,1,3038,0.03%,199,3038,6.55%,749,1414,1575,1660,1400,1359.6,1762
76023,Parker County,Parker County;Wise County,5733,1358,1408,1391,1238,1242,1327,5515,5378,0,67,26,0,7,37,266,182,0,0,0,0,84,0,2243,50,1242,73,5.88%,0,0,3,0,0,0,66,4,0,0,0,0,0,10,0,130,0,140,0.00%,*,6,N/A,N/A,23.08%,1,1327,0.08%,72,1327,5.42%,304,1,1209,1839,1157,902,1264
76023,Wise County,Parker County;Wise County,5733,1358,1408,1391,1238,1242,1327,5515,5378,0,67,26,0,7,37,266,182,0,0,0,0,84,0,2243,50,1242,73,5.88%,0,0,3,0,0,0,66,4,0,0,0,0,0,10,0,130,0,140,0.00%,*,6,N/A,N/A,23.08%,1,1327,0.08%,72,1327,5.42%,304,1,1209,1839,1157,902,1264
76028,Johnson County,Johnson County;Tarrant County,62853,16586,15502,16551,17266,16674,16516,55702,52922,1755,68,217,79,0,661,6935,6227,0,7,0,0,505,196,22159,969,16674,1606,9.63%,260,66,202,68,66,114,326,40,340,60,12,52,0,18,30,2218,10,2266,1.32%,122,15,17,24,57.69%,1,16516,0.01%,952,16516,5.76%,437,912,1869,1381,1230,1165.8,1593
76028,Tarrant County,Johnson County;Tarrant County,62853,16586,15502,16551,17266,16674,16516,55702,52922,1755,68,217,79,0,661,6935,6227,0,7,0,0,505,196,22159,969,16674,1606,9.63%,260,66,202,68,66,114,326,40,340,60,12,52,0,18,30,2218,10,2266,1.32%,122,15,17,24,57.69%,1,16516,0.01%,952,16516,5.76%,437,912,1869,1381,1230,1165.8,1593
76031,Johnson County,Johnson County,17273,4763,4634,4089,4647,4925,4612,13434,12040,974,66,67,0,0,287,3926,3517,10,41,0,0,342,16,5673,390,4925,1558,31.63%,182,60,216,99,55,95,140,52,390,94,39,136,53,8,21,485,0,567,13.05%,76,11,N/A,N/A,42.31%,1,4612,0.02%,482,4612,10.45%,1314,1475,1648,1533,1728,1539.6,1899
76033,Hood County,Hood County;Johnson County,24047,6634,6078,6092,6308,6090,6240,19667,18175,369,98,193,456,9,367,4591,3835,17,30,28,0,579,102,8875,574,6090,1210,19.87%,169,0,165,125,29,117,146,89,103,101,35,131,0,30,26,700,0,756,3.44%,64,10,N/A,N/A,38.46%,2,6240,0.03%,469,6240,7.52%,859,1067,1575,1660,1525,1337.2,1739
76033,Johnson County,Hood County;Johnson County,24047,6634,6078,6092,6308,6090,6240,19667,18175,369,98,193,456,9,367,4591,3835,17,30,28,0,579,102,8875,574,6090,1210,19.87%,169,0,165,125,29,117,146,89,103,101,35,131,0,30,26,700,0,756,3.44%,64,10,N/A,N/A,38.46%,2,6240,0.03%,469,6240,7.52%,859,1067,1575,1660,1525,1337.2,1739
76034,Tarrant County,Tarrant County,23986,6024,5976,6112,6116,6198,6085,21739,18505,360,6,2454,23,20,371,1789,1176,0,0,0,0,319,294,8124,268,6198,150,2.42%,0,0,20,27,15,0,0,25,0,15,20,28,0,20,0,1187,0,1207,0.00%,12,5,N/A,N/A,19.23%,2,6085,0.03%,51,6085,0.84%,194,1,1090,1660,184,625.8,819
76035,Hood County,Hood County;Johnson County;Parker County,1512,400,594,398,382,351,425,1305,1294,0,0,11,0,0,0,172,142,0,0,0,0,15,15,557,14,351,47,13.39%,0,17,0,0,0,0,0,0,15,15,0,0,0,0,0,42,0,42,0.00%,*,1,N/A,N/A,3.85%,0,425,0.00%,32,425,7.53%,589,1,467,1,1526,516.8,627
76035,Johnson County,Hood County;Johnson County;Parker County,1512,400,594,398,382,351,425,1305,1294,0,0,11,0,0,0,172,142,0,0,0,0,15,15,557,14,351,47,13.39%,0,17,0,0,0,0,0,0,15,15,0,0,0,0,0,42,0,42,0.00%,*,1,N/A,N/A,3.85%,0,425,0.00%,32,425,7.53%,589,1,467,1,1526,516.8,627
76035,Parker County,Hood County;Johnson County;Parker County,1512,400,594,398,382,351,425,1305,1294,0,0,11,0,0,0,172,142,0,0,0,0,15,15,557,14,351,47,13.39%,0,17,0,0,0,0,0,0,15,15,0,0,0,0,0,42,0,42,0.00%,*,1,N/A,N/A,3.85%,0,425,0.00%,32,425,7.53%,589,1,467,1,1526,516.8,627
76036,Johnson County,Johnson County;Tarrant County,22799,6404,6095,6241,5933,6430,6221,18498,13888,3615,32,253,190,0,520,3898,3435,36,62,0,0,300,65,7921,471,6430,929,14.45%,145,17,196,84,34,13,228,13,112,51,14,22,0,0,38,805,0,843,4.51%,35,12,9,9,46.15%,1,6221,0.02%,447,6221,7.19%,637,1147,1705,1533,1484,1301.2,1708
76036,Tarrant County,Johnson County;Tarrant County,22799,6404,6095,6241,5933,6430,6221,18498,13888,3615,32,253,190,0,520,3898,3435,36,62,0,0,300,65,7921,471,6430,929,14.45%,145,17,196,84,34,13,228,13,112,51,14,22,0,0,38,805,0,843,4.51%,35,12,9,9,46.15%,1,6221,0.02%,447,6221,7.19%,637,1147,1705,1533,1484,1301.2,1708
76039,Tarrant County,Tarrant County,33222,7591,7399,7429,7675,7745,7568,26982,18870,3213,106,2962,763,172,896,5644,3067,26,23,19,0,2052,457,13852,1188,7745,1180,15.24%,137,0,263,59,57,42,139,38,178,36,98,133,26,0,0,757,0,783,3.32%,38,11,N/A,N/A,42.31%,0,7568,0.00%,280,7568,3.70%,671,1056,1648,1,728,820.8,1158
76040,Tarrant County,Tarrant County,30140,7128,7896,7418,8030,7840,7662,23659,13422,5328,86,3617,545,52,609,6040,2681,364,20,16,206,2593,160,11497,974,7840,1941,24.76%,388,53,372,49,81,97,309,18,173,217,53,131,7,0,79,946,0,1032,8.33%,46,13,36,44,50.00%,2,7662,0.03%,442,7662,5.77%,1065,1347,1764,1660,1231,1413.4,1814
76041,Ellis County,Ellis County,294,114,97,86,38,103,88,169,169,0,0,0,0,0,0,5,5,0,0,0,0,0,0,76,0,103,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,88,0.00%,6,88,6.85%,1,N/A,1,1,1446,362.25,368
76043,Bosque County,Bosque County;Somervell County,7434,1918,1896,1970,1875,1905,1913,5872,5655,122,0,0,0,0,95,1548,1023,0,22,0,0,503,0,2784,114,1905,316,16.59%,20,52,5,2,63,19,48,0,45,50,0,12,0,0,0,252,10,252,0.00%,18,6,N/A,N/A,23.08%,0,1913,0.00%,120,1913,6.27%,733,1,1209,1,1354,659.6,897
76043,Somervell County,Bosque County;Somervell County,7434,1918,1896,1970,1875,1905,1913,5872,5655,122,0,0,0,0,95,1548,1023,0,22,0,0,503,0,2784,114,1905,316,16.59%,20,52,5,2,63,19,48,0,45,50,0,12,0,0,0,252,10,252,0.00%,18,6,N/A,N/A,23.08%,0,1913,0.00%,120,1913,6.27%,733,1,1209,1,1354,659.6,897
76044,Johnson County,Johnson County,3840,1098,1020,1095,1132,1066,1082,3165,3047,38,42,0,0,0,38,612,585,0,0,0,0,27,0,1308,82,1066,135,12.66%,23,0,31,2,9,4,22,2,14,9,7,12,0,0,8,102,0,110,7.27%,*,5,N/A,N/A,19.23%,1,1082,0.09%,98,1082,9.06%,565,1296,1090,1856,1658,1293,1699
76048,Hood County,Hood County;Somervell County,22773,4637,4573,4552,5169,5080,4802,19481,18579,282,259,129,0,14,218,3354,1339,0,0,0,0,2015,0,8791,537,5080,987,19.43%,159,14,176,67,0,34,272,0,65,102,9,89,0,15,0,562,0,577,0.00%,103,10,N/A,N/A,38.46%,0,4802,0.00%,650,4802,13.54%,841,1,1575,1,1823,848.2,1187
76048,Somervell County,Hood County;Somervell County,22773,4637,4573,4552,5169,5080,4802,19481,18579,282,259,129,0,14,218,3354,1339,0,0,0,0,2015,0,8791,537,5080,987,19.43%,159,14,176,67,0,34,272,0,65,102,9,89,0,15,0,562,0,577,0.00%,103,10,N/A,N/A,38.46%,0,4802,0.00%,650,4802,13.54%,841,1,1575,1,1823,848.2,1187
